Version,4,,,,,,,,,,,,,,,,,,,,,,,,
装備ID,図鑑番号,装備名,種類,耐久,装甲,火力,雷撃,速力,爆装,対空,対潜,api_atap,命中,雷撃命中,回避,雷撃回避,爆装回避,索敵,索敵妨害,運,射程,レアリティ,破棄時資材,説明,弾薬消費
20,20,零式艦戦21型,"[3,5,6,6]",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,"[1,1,0,2]",「ゼロ戦」の名で知られる名機「零式艦上戦闘機」の初期型です。7.7mm機銃2門と自慢の20mm機銃2門を装備。<br>優れた格闘戦能力と長大な航続距離で、その圧倒的な力を見せつけました。<br>やがて敵が強力な新型機になってくると、火力と速度、防弾性などの弱点が露呈していきます。,0
21,21,零式艦戦52型,"[3,5,6,6]",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,"[1,2,0,3]",零戦の最終的な量産機となった改良型、「零式艦上戦闘機52型」です。<br>後継機の開発が遅れたため、零戦52型が後期の主力艦上戦闘機として奮戦することになりました。<br>「彗星」艦爆や「天山」艦攻と一緒に、機動部隊の主力として運用してくださいね。,0
22,22,烈風,"[3,5,6,6]",0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,"[2,2,0,9]",名機「零戦」の後継機と開発された最新鋭艦上戦闘機「烈風」。<br>用兵側の発動機選定ミスや多忙な現場設計陣などの苦境を越えて、ついに完成した新型艦戦です。<br>ぜひ、「流星」艦爆と共に、次世代の機動部隊艦載機部隊を編制して、空を制してくださいね！,0
23,23,九九式艦爆,"[3,5,7,7]",0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,"[1,1,0,2]",複葉の九六艦爆から一新、単葉の近代的な艦上爆撃機として登場しました。<br>「九九艦爆」と呼ばれ、「九七艦攻」と共に初期の機動部隊の攻撃隊戦力の中核を担います。<br>固定脚の低速機であるため、より高性能な高速艦爆「彗星」にその座を譲っていきました。,0
24,24,彗星,"[3,5,7,7]",0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,1,"[2,3,0,3]",「九九艦爆」の後継として開発された高速性能を誇る艦上爆撃機「彗星」。<br>液冷発動機を装備。当時の一般的な戦闘機より速く、護衛の零戦すら振り切れる高速性とも言われます。<br>整備の難しい機体ですが、高速艦爆としての完成度は高く、ぜひ機動部隊の中核として運用してくださいね。,0
25,25,零式水上偵察機,"[5,7,10,10]",0,0,0,0,0,1,1,2,0,1,10,0,0,0,5,0,0,0,0,"[1,1,0,2]",「零水偵」とも呼ばれる標準的な水上偵察機です。<br>戦艦や巡洋艦、水上機母艦などに搭載され、索敵任務担当として艦隊の「目」の役目を務めます。<br>海戦は索敵が大事！　ぜひ、主力艦艇に搭載して、運用してくださいね。,0
26,26,瑞雲,"[5,7,11,10]",0,0,0,0,0,4,2,4,0,1,13,0,0,0,6,0,0,0,1,"[2,3,0,5]",水上偵察機を発展させ、急降下爆撃可能な水偵として開発された「瑞雲」。<br>空戦フラップまで装備した高性能な多用途機で、水上機母艦や、航空巡洋艦などからの運用も可能です。<br>「伊勢」型を改装した「航空戦艦」で集中運用、水上打撃機動部隊を編制するのも楽しいですよ！,0
27,27,13号対空電探,"[5,8,12,11]",0,0,0,0,0,0,2,0,0,1,3,0,0,0,3,0,0,0,1,"[0,0,10,10]",艦載用対空電探です。<br>当初陸上用として開発されたものでしたが、小型軽量で艦載も可能だったため、「13号対空電探」として採用されました。<br>最終的に戦艦や空母まで、多くの艦艇に装備された傑作電探です。,0
28,28,22号対水上電探,"[5,8,12,11]",0,0,0,0,0,0,0,0,0,3,10,0,0,0,5,0,0,0,1,"[0,0,15,15]",初の実戦運用された対水上電探です。<br>当初動作不安定で実用に耐えませんでしたが、改良と調整により、徐々に効果を発揮していきます。<br>捜索以外にも限定的ながら射撃管制にも使用されました。,0
29,29,33号対水上電探,"[5,8,12,11]",0,0,0,0,0,0,0,0,0,5,12,0,0,0,7,0,0,0,2,"[0,0,20,15]",対水上射撃管制用に開発された小型対水上射撃用電探です。<br>22号を改修して精度を上げ、探知距離・精度ともに実用レベルで運用可能です。<br>雷撃管制用にも使用でき、砲雷撃戦の質を大きく向上させます。,0
30,30,21号対空電探,"[5,8,13,11]",0,0,0,0,0,0,4,0,0,2,3,0,0,0,4,0,0,0,2,"[0,0,20,20]",初の実用艦載電探です。<br>対空用ですが、対水上電探としても使用可能です。<br>13号電探と混載することも可能で、基本的にこの21号は大型艦に搭載されました。,0
31,31,32号対水上電探,"[5,8,13,11]",0,0,0,0,0,0,0,0,0,8,15,0,0,0,10,0,0,0,3,"[0,0,20,25]",高性能な大型対水上電探です。<br>遠距離射撃にも対応できる射撃管制が可能ですが、かなり大型で重量過大です。<br>これを搭載すると、そうとう目立ちます！,0
32,32,14号対空電探,"[5,8,13,11]",0,0,0,0,0,0,6,0,0,4,3,0,0,0,5,0,0,0,4,"[0,0,25,25]",高性能な大型対空電探です。<br>英軍のレーダーを参考に開発したため、他の対空電探より高い精度を発揮しました。<br>空中線が大型のため、基本的に戦艦や正規空母、重巡洋艦などの大型艦への装備が可能です。,0
33,33,改良型艦本式タービン,"[6,31,17,19]",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,"[10,0,10,0]",改良型の新型タービン機関です。<br>従来型タービンの各部素材を見直し構造強化を行って、より高出力が可能となりました。<br>機動性が向上し、砲雷撃戦や、対空戦における回避率が向上します。,0
34,34,強化型艦本式缶,"[6,31,17,19]",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,"[10,0,20,0]",新開発の高温高圧缶です。<br>従来の艦本式ロ号缶から換装するもので、駆逐艦「島風」で採用した高温高圧缶をベースに、実用性と量産性を高めたもの。<br>高出力と低燃費を実現し、回避率を大きく向上させます。また、改良型タービンとの併用でさらに高い推力を実現します。,0
35,35,三式弾,"[4,28,18,12]",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,"[0,9,6,3]",戦艦の主砲から放たれる対空用特殊砲弾。<br>榴散弾の一種で、大量の子弾が爆散、敵を編隊ごと一網打尽に殲滅することが可能。<br>戦艦主砲の射撃装置の問題で命中率が低いのが難点だが、艦隊の防空力を大きく高めます。<br>戦艦・航空戦艦・巡洋戦艦が使用可能。,0
36,36,九一式徹甲弾,"[4,25,19,13]",0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"[0,3,9,0]",遠距離砲撃戦における秘密兵器「九一式徹甲弾」。<br>海中突入後急激に向きを変え、魚雷のように敵艦水線下に突き進み、喫水下を破砕する特殊徹甲弾です。<br>水中弾効果を高める形状設計のため、空気抵抗も減少して射程も延伸します。<br>戦艦・航空戦艦等が使用可能。,0
37,37,7.7mm機銃,"[4,6,21,15]",0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,"[0,1,1,0]",対空補助兵装です。<br>初期の対空兵器として初期の駆逐艦等に装備された小口径機銃です。<br>射程及び威力ともに能力不足で、12.7mm機銃や25mm機銃への更新が進んでいます。,0
38,38,12.7mm単装機銃,"[4,6,21,15]",0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,"[0,1,1,0]",対空機銃です。<br>対空兵装として、主に駆逐艦等に装備されました。<br>より強力な25mm機銃への更新が進んでいます。,0
39,39,25mm連装機銃,"[4,6,21,15]",0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,"[0,2,1,0]",標準的な対空機銃兵装です。<br>フランス製の25mm機関砲をベースに国産化した、25mm高角機銃の連装型です。<br>連装型は標準に対空装備でしたが、スペースや状況が許す限り、より強力な三連装型に更新されていきました。,0
40,40,25mm三連装機銃,"[4,6,21,15]",0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,1,"[0,3,1,0]",国産対空機銃兵装の強化バージョンです。<br>25mm高角機銃の三連装型ですが、一度に撃てるわけではなく、一門ずつ順番に撃って銃身の加熱を防ぎます。<br>従来の連装機銃や仮設の単装機銃を加え、この25mm三連装機銃が近接対空兵装の中核となりました。,0
41,41,甲標的,"[2,4,22,5]",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"[0,7,7,0]",独自開発された「特殊潜航艇」です。<br>軽巡洋艦や甲標的母艦に改装した水上機母艦、そして潜水艦が搭載して運用します。<br>二発の魚雷を装備し、敵艦に肉薄して雷撃、艦隊決戦を補助する特殊兵器です。,0
42,42,応急修理要員,"[6,30,23,14]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0,0,1,0]",プロのダメコン（ダメージコントロール）集団。艦娘の戦闘による致命的な被害を最小限に抑えることによって、大切な艦娘を轟沈（ロスト）からお護りします！<br>艦隊決戦のリスクマネージメントに、ぜひどうぞ！<br>（発動すると消滅します）,0
43,43,応急修理女神,"[6,30,23,14]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"[0,0,1,0]",ダメコン（ダメージコントロール）集団の最上位バージョン。艦娘の戦闘による致命的な被害を最小限に抑えて、大切な艦娘を轟沈（ロスト）から護ると共に、発動すると、同艦娘の耐久力と燃料・弾薬などの補給物資を全回復してくれるという、まさに女神のようなオーバーテクノロジーな至高のダメコン！<br>（発動すると消滅します）,0
44,44,九四式爆雷投射機,"[7,32,15,17]",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,"[0,2,1,1]",対潜兵装です。<br>最も標準的な爆雷投射機です。駆逐艦・海防艦などの小型艦艇に対潜水艦用火力として装備されました。<br>若干旧式化しつつありますが、敵潜を発見さえできれば、その威力は十分です。,0
45,45,三式爆雷投射機,"[7,32,15,17]",0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,"[0,3,1,1]",対潜兵装です。<br>九四式にかわる新型の爆雷投射機です。新鋭の海防艦などに装備されました。<br>大量装備すれば、発見さえできれば、敵潜水艦の面制圧も…きっと可能です。,0
46,46,九三式水中聴音機,"[7,10,14,18]",0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,"[0,0,1,1]",対潜兵装です。<br>いわゆるパッシブソナーです。性能は残念ながら、あまり良くはありません。<br>でも、あるとないとでは大違い！対潜作戦のお供に、ぜひどうぞ！,0
47,47,三式水中探信儀,"[7,10,14,18]",0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,2,"[0,0,1,2]",対潜兵装です。<br>いわゆるアクティブソナーです。性能は残念ながら、ものすごく高くはありません。<br>それでも、他兵装と組み合わせて、練度の高い駆逐艦で敵潜水艦隊を文字通り駆逐してください！,0
48,48,12.7cm単装高角砲,"[1,1,1,16]",0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,"[0,1,1,0]",標準的な対空高角砲です。<br>量産に向いた構造で経済性も高く、後期の駆逐艦や海防艦、輸送船などにも搭載されました。<br>襲いかかる敵機に蟷螂の斧ですが対抗します。,0
49,49,25mm単装機銃,"[4,6,21,15]",0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,"[0,1,1,0]",標準的な対空機銃兵装です。<br>後期の艦艇のほとんど全てが装備した機銃です。命中しない…すぐ加熱する…等の評価もありますが、雲霞のように迫りくる敵機から味方艦艇を必死に守りました。銃身の過熱を防ぐため、連装、三連装タイプも生産＆配備されました。,0
50,50,20.3cm(3号)連装砲,"[1,1,2,2]",0,0,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,1,"[0,3,4,0]",20.3cm連装砲の改良型、それが同3号連装砲です。<br>元々優秀な重巡洋艦用主砲をさらに改良。55口径の極めて優れた重巡用主砲が完成しました。<br>優秀な砲ですが、経済性に難があり、少量の試作だけで量産はされていません。,0
51,51,12cm30連装噴進砲,"[4,29,21,15]",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,"[0,4,2,2]",12cm30連装噴進砲は、艦載用対空ロケットランチャーです。<br>四式ロケット式焼霰弾(ロサ弾）を30連発で連続発射する脅威の弾幕は、肉薄する敵艦載機から味方艦を護ります。<br>ぜひ、改装した伊勢・日向に満載して、敵空母の猛攻を突破してください！,0
52,52,流星改,"[3,5,8,8]",0,0,0,13,0,0,0,3,0,0,0,0,0,0,2,0,0,0,3,"[2,6,0,10]",艦攻と艦爆を統合した先進的な急降下爆撃可能な雷撃機「流星」の性能向上型です。<br>美しいフォルムだけでなく、爆弾倉・主脚・主翼折り畳み機構も油圧操作式、20ｍｍ砲x2門と7.7ｍｍ機銃x2門、さらに13ｍｍ後方旋回銃x１門という世界最強武装を誇る艦上統合攻撃機「流星改」。提督の機動部隊でぜひ活躍させてくださいね。,0
53,53,烈風改,"[3,5,6,6]",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4,"[2,2,0,10]",名機「零戦」の後継機として開発された最新鋭艦上戦闘機「烈風」。その性能向上型が「烈風改」です。<br>レシプロ艦上戦闘機として、究極の領域まで高められた秘めた戦闘能力を、提督の艦隊の防空や制空でぜひ発揮させてくださいね。最近、数十年の時を越えて、設計図が発見されたニュースもありました！,0
54,54,彩雲,"[5,7,9,9]",0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,2,"[2,0,0,11]",「我ニ追イツク敵機無シ」有名な無電を発した俊足の艦上偵察機「彩雲」。敵戦闘機の追随を許さない高速性能を誇る、高性能な艦上偵察機です。悪化した戦況の中、敵情偵察に海上へと飛び立ちました。<br>ぜひ、提督の機動部隊の正規空母、その第4航空隊に配備してみてくださいね。,0
55,55,紫電改二,"[3,5,6,6]",0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,2,"[2,2,0,7]",本土防空の切り札、局地戦闘機「紫電改」の艦載機型です。<br>大馬力エンジンと空戦フラップの採用などによる優れた空戦能力で、開発・配備の遅れた烈風の穴を埋めるべく計画されました。空母信濃が就航した暁には、例え烈風や烈風改が揃っていても、あえて搭載してほしい幻の…そして実在した最期の艦上戦闘機です。,0
56,56,震電改,"[3,5,6,6]",0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,5,"[2,3,0,28]",九州飛行機＆海軍航空技術廠が生み出した、先進的なエンテ型の試作戦闘機「震電」。<br>推進プロペラを後方に配置し、重火力を機体前部に集中させた後進翼の機体は、まさに未来と希望を感じさせるもの。<br>現実世界では、海上に飛び立つことのなかった機体ですが、「艦これ」では着艦フックと尾翼等を補強して登場です！,0
57,57,彗星一二型甲,"[3,5,7,7]",0,0,0,0,0,10,0,3,0,0,0,0,0,0,1,0,0,0,2,"[2,3,0,4]",「九九艦爆」の後継として開発された高速性能を誇る水冷エンジンの艦上爆撃機「彗星」。<br>彗星艦爆一二型甲は、エンジンをより強力なアツタ三二型に換装。そして後部機銃も13mmに火力強化しました。機動力と防御火力を向上させた本機で、あの有名な芙蓉部隊ばりの奮戦を！,0
58,58,61cm五連装(酸素)魚雷,"[2,3,5,5]",0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,"[2,3,2,0]",大威力長射程を誇る、秘密兵器「九三式酸素魚雷」。<br>その必殺の酸素魚雷を、五連装にしてしまった水雷兵装のファイナルウェポンが、この五連装【酸素魚雷】発射管です。高速重雷装駆逐艦の「島風」に搭載されました。大井さんやスーパー北上さまも、こっちを見ています！,0
59,59,零式水上観測機,"[5,7,10,10]",0,0,0,0,0,1,2,4,0,2,0,0,0,0,6,0,0,0,1,"[1,1,0,2]",複葉でありながら、優れた運動性と高い空戦能力を持つ二座の水上偵察機です。主力艦隊の砲戦弾着観測と偵察のための機体ですが、その高い格闘戦闘力は、専門の水上戦闘機も顔負けの高性能ぶり。複葉機だけど近代的な、名作観測機なのです！,0
60,60,零式艦戦62型(爆戦),"[3,5,7,7]",0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,2,"[1,3,0,3]",零式艦上戦闘機を艦上爆撃機仕様にした、通称「爆戦」です。<br>52型の胴体下に250kg爆弾懸吊架を増設しました。戦闘爆撃機型の機体で、爆撃後は制空戦闘機として空戦に参加できるマルチロールファイター。あの攻撃方法は採用しないで通常攻撃です！,0
61,61,二式艦上偵察機,"[5,7,9,9]",0,0,0,0,0,0,1,0,0,3,0,0,0,0,7,0,0,0,1,"[3,1,0,13]",名機「彗星艦爆」の艦上偵察機型です。<br>偵察用カメラと増加燃料タンクを搭載して、艦隊の目として活躍可能です。ぜひ、彩雲と共に機動部隊で運用してね！,0
62,62,試製晴嵐,"[5,7,11,10]",0,0,0,0,0,11,0,6,0,1,0,0,0,0,6,0,0,0,4,"[4,5,0,20]",カタパルト射出可能な高性能攻撃機「晴嵐」のプロトタイプです。<br>水上機搭載可能な潜水艦による戦略的な運用を目指して開発された、高い攻撃力を秘めたハイスペックな機体です。あの潜水艦が登場した際には、ぜひ搭載したいですね！,0
63,63,12.7cm連装砲B型改二,"[1,1,1,1]",0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,"[0,1,2,0]",艦隊型駆逐艦の主砲のマイナーチェンジバージョンです。<br>基本形と同様、防盾で全周を遮蔽、弾片や荒天対策を施しており、また本バージョンでは仰角範囲等も改良されました。駆逐艦夕立等に搭載されたとも云われています。,0
64,64,Ju87C改,"[3,5,7,7]",0,0,0,0,0,9,0,5,0,1,0,0,0,0,0,0,0,0,3,"[2,4,0,5]",かの国の代表的な急降下爆撃機、その艦載機バージョン。<br>「スツーカ」という呼称が有名な、優れた急降下爆撃性能を誇る、逆ガル式翼が特徴的な機体です。急降下時の風切音がサイレンに似ていることから「悪魔のサイレン」とも呼ばれたそうです。,0
65,65,15.2cm連装砲,"[1,1,2,2]",0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,0,0,2,2,"[0,2,3,0]",新型軽巡のために開発された新型の両用砲です。<br>対巡洋艦戦闘に重きをおいた新設計の軽巡主砲で、限定的ですが対空戦闘も可能です。阿賀野型軽巡シリーズに装備されました。,0
66,66,8cm高角砲,"[1,2,4,16]",0,0,1,0,0,0,6,0,0,2,0,0,0,0,0,0,0,1,3,"[0,1,2,0]",新開発の長8cm高角砲です。<br>秋月型に装備された長10cm高角砲の小型軽量化を目指した対空用副砲バージョンです。微妙な出来という評価もありますが、後期の建造艦艇への装備が期待されていました。,0
67,67,53cm艦首(酸素)魚雷,"[2,3,5,5]",0,0,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,"[2,2,2,0]",伊号潜水艦の艦首に装備する潜水艦の主兵装です。<br>水上艦艇に搭載するものよりやや直径の小さい、長射程高威力を誇る必殺の酸素魚雷です。大型艦艇に大ダメージを与えることも可能です。,0
68,68,大発動艇,"[8,14,24,20]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1,1,0,1]",大発動艇、略して「大発」。<br>輸送船からの揚陸作業や上陸戦に用いた、現代でいうところの「上陸用舟艇」です。海上のトラックのような「大発」は、大型輸送船や強襲揚陸艦などで運用可能です。,0
69,69,カ号観測機,"[3,15,25,21]",0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,3,"[1,1,0,4]",陸軍で開発、運用されていたオートジャイロ「カ号観測機」。<br>現代の艦載ヘリコプターの先祖ともいえる、回転翼の艦載対潜哨戒機です。全通甲板を持つ強襲揚陸艦や軽空母、航空甲板を持つ航空巡洋艦などで運用可能です。,0
70,70,三式指揮連絡機(対潜),"[3,16,26,22]",0,0,0,0,0,0,0,7,0,2,0,0,0,0,1,0,0,0,1,"[1,1,0,2]",陸軍で開発、対潜哨戒機としても運用されていた固定翼機です。<br>現代のSTOL(短距離離着陸機)のような性能を持ち、艦載対潜哨戒機として運用されました。全通甲板を持つ強襲揚陸艦や軽空母などで運用可能です。,0
