Version,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
艦船ID,図鑑番号,艦名,読み,艦種,改装Lv,改装後,耐久,装甲,火力,雷撃,対空,運,速力,射程,スロット数,搭載数,建造時間,解体資源,近代化改修,レア,ドロップ文章,改装弾薬,改装鋼材,搭載燃料,搭載弾薬,ボイス,回避,対潜,索敵,初期装備,制空値,加重対空値
33,15,叢雲,むらくも,2,20,205,"[15,29]","[5,19]","[10,29]","[27,69]","[10,39]","[10,49]",10,1,2,"[0,0,0,0,0]",20,"[1,1,5,0]","[0,1,0,0]",2,あんたが司令官ね。<br>ま、せいぜい頑張りなさい！,100,100,15,20,1,"[40,79]","[20,49]","[5,19]","[2,-1,-1,-1,-1]",0,6
34,71,暁,あかつき,2,20,234,"[15,30]","[6,19]","[10,29]","[27,79]","[12,39]","[12,49]",10,1,2,"[0,0,0,0,0]",20,"[1,1,5,0]","[1,1,0,0]",3,暁よ。<br>一人前のレディーとして扱ってよね！,100,100,15,20,0,"[42,89]","[20,49]","[5,19]","[2,13,-1,-1,-1]",0,6
35,72,響,ひびき,2,20,235,"[15,30]","[6,19]","[10,29]","[27,69]","[12,39]","[10,49]",10,1,2,"[0,0,0,0,0]",20,"[1,1,5,0]","[0,1,0,0]",2,響だよ。<br>その活躍ぶりから不死鳥の通り名もあるよ。,100,100,15,20,0,"[42,79]","[20,49]","[5,19]","[2,-1,-1,-1,-1]",0,6
36,73,雷,いかづち,2,20,236,"[15,30]","[6,19]","[10,29]","[27,69]","[12,39]","[10,49]",10,1,2,"[0,0,0,0,0]",20,"[1,1,5,0]","[0,1,0,0]",1,雷よ！　かみなりじゃないわ！<br>そこのとこもよろしく頼むわねっ！,100,100,15,20,0,"[42,79]","[20,49]","[5,19]","[2,-1,-1,-1,-1]",0,6
37,74,電,いなづま,2,20,237,"[15,30]","[6,19]","[10,29]","[27,69]","[12,39]","[10,49]",10,1,2,"[0,0,0,0,0]",20,"[1,1,5,0]","[0,1,0,0]",1,電です。<br>どうか、よろしくお願いいたします。,100,100,15,20,0,"[42,79]","[20,49]","[5,19]","[2,-1,-1,-1,-1]",0,6
38,75,初春,はつはる,2,20,238,"[16,31]","[6,19]","[10,29]","[27,79]","[12,39]","[12,49]",10,1,2,"[0,0,0,0,0]",20,"[1,1,5,0]","[1,1,0,0]",3,わらわが初春じゃ。<br>よろしく頼みますぞ。,100,100,15,20,0,"[43,89]","[21,49]","[5,19]","[2,13,-1,-1,-1]",0,6
39,76,子日,ねのひ,2,20,239,"[16,31]","[6,19]","[10,29]","[27,69]","[9,39]","[10,49]",10,1,2,"[0,0,0,0,0]",20,"[1,1,5,0]","[0,1,0,0]",1,初めまして、ねのひ、だよぉ！<br>艦名、読みづらくなんか、ないよね？ね？,100,100,15,20,0,"[43,79]","[21,49]","[5,19]","[2,-1,-1,-1,-1]",0,6
40,77,若葉,わかば,2,20,240,"[16,31]","[6,19]","[10,29]","[27,69]","[9,39]","[10,49]",10,1,2,"[0,0,0,0,0]",20,"[1,1,5,0]","[0,1,0,0]",2,駆逐艦、若葉だ。,100,100,15,20,0,"[43,79]","[21,49]","[5,19]","[2,-1,-1,-1,-1]",0,6
41,78,初霜,はつしも,2,20,241,"[16,31]","[6,19]","[10,29]","[27,69]","[9,39]","[10,49]",10,1,2,"[0,0,0,0,0]",20,"[1,1,5,0]","[0,1,0,0]",2,初春型四番艦、初霜です。<br>皆さん、よろしくお願いします！,100,100,15,20,0,"[43,79]","[21,49]","[5,19]","[2,-1,-1,-1,-1]",0,6
42,79,白露,しらつゆ,2,20,242,"[16,32]","[6,19]","[10,29]","[24,79]","[12,39]","[12,49]",10,1,2,"[0,0,0,0,0]",22,"[1,1,5,0]","[1,1,0,0]",3,白露型駆逐艦一番艦、「白露」です！<br>はい、一番艦ですっ！,100,100,15,20,0,"[43,79]","[21,49]","[5,19]","[2,14,-1,-1,-1]",0,6
43,80,時雨,しぐれ,2,20,243,"[16,32]","[6,19]","[10,29]","[24,69]","[9,39]","[10,49]",10,1,2,"[0,0,0,0,0]",22,"[1,1,5,0]","[0,1,0,0]",2,僕は白露型駆逐艦、「時雨」。<br>これからよろしくね。,100,100,15,20,1,"[43,79]","[21,49]","[5,19]","[2,-1,-1,-1,-1]",0,6
44,81,村雨,むらさめ,2,20,244,"[16,32]","[6,19]","[10,29]","[24,69]","[9,39]","[10,49]",10,1,2,"[0,0,0,0,0]",22,"[1,1,5,0]","[0,1,0,0]",2,はいはーい！白露型駆逐艦「村雨」だよ。<br>みんな、よろしくね！,100,100,15,20,0,"[43,79]","[21,49]","[5,19]","[2,-1,-1,-1,-1]",0,6
45,82,夕立,ゆうだち,2,20,245,"[16,32]","[6,19]","[10,29]","[24,69]","[9,39]","[10,49]",10,1,2,"[0,0,0,0,0]",22,"[1,1,5,0]","[0,1,0,0]",2,こんにちは、白露型駆逐艦「夕立」よ。<br>よろしくね！,100,100,15,20,1,"[43,79]","[21,49]","[5,19]","[2,-1,-1,-1,-1]",0,6
46,83,五月雨,さみだれ,2,20,246,"[16,32]","[6,19]","[10,29]","[24,69]","[9,39]","[10,49]",10,1,2,"[0,0,0,0,0]",22,"[1,1,5,0]","[0,1,0,0]",2,五月雨っていいます！よろしくお願いします。<br>護衛任務はお任せください！,100,100,15,20,0,"[43,79]","[21,49]","[5,19]","[2,-1,-1,-1,-1]",0,6
47,84,涼風,すずかぜ,2,20,247,"[16,32]","[6,19]","[10,29]","[24,79]","[9,39]","[12,49]",10,1,2,"[0,0,0,0,0]",22,"[1,1,5,0]","[1,1,0,0]",3,ちわ！涼風だよ。<br>私が艦隊に加われば百人力さ！,100,100,15,20,0,"[43,79]","[21,49]","[5,19]","[2,14,-1,-1,-1]",0,6
48,89,霰,あられ,2,20,252,"[16,33]","[6,19]","[10,29]","[24,69]","[9,39]","[10,49]",10,1,2,"[0,0,0,0,0]",22,"[1,1,5,0]","[0,1,0,1]",1,霰です…<br>んちゃ…とかはいいません…よろしく…,100,100,15,20,0,"[43,79]","[21,49]","[5,19]","[2,-1,-1,-1,-1]",0,6
49,90,霞,かすみ,2,20,253,"[16,33]","[6,19]","[10,29]","[24,69]","[9,39]","[15,59]",10,1,2,"[0,0,0,0,0]",22,"[1,1,5,0]","[0,1,0,1]",2,霞よ。<br>ガンガンいくわよ。ついてらっしゃい。,100,100,15,20,0,"[43,79]","[21,49]","[5,19]","[2,-1,-1,-1,-1]",0,6
50,10,島風,しまかぜ,2,20,229,"[19,39]","[8,29]","[12,29]","[45,89]","[14,49]","[10,49]",10,1,2,"[0,0,0,0,0]",30,"[1,1,5,0]","[0,2,1,1]",6,駆逐艦島風です。スピードなら誰にも負けません。<br>速きこと、島風の如し、です！,120,100,20,25,0,"[50,99]","[24,49]","[7,19]","[2,14,-1,-1,-1]",0,7
51,28,天龍,てんりゅう,3,20,213,"[23,35]","[7,29]","[11,39]","[18,59]","[8,39]","[17,49]",10,2,2,"[0,0,0,0,0]",60,"[1,1,8,0]","[0,1,0,1]",3,オレの名は天龍。<br>フフフ、怖いか？,150,200,25,20,0,"[35,69]","[18,59]","[7,19]","[4,37,-1,-1,-1]",0,17
52,29,龍田,たつた,3,20,214,"[23,35]","[7,29]","[11,39]","[18,59]","[8,39]","[17,49]",10,2,2,"[0,0,0,0,0]",60,"[1,1,8,0]","[0,1,0,1]",3,初めまして、龍田だよ。<br>天龍ちゃんがご迷惑かけてないかなあ～。,150,200,25,20,0,"[35,69]","[18,59]","[7,19]","[4,37,-1,-1,-1]",0,17
53,44,名取,なとり,3,20,221,"[26,39]","[10,29]","[14,39]","[24,79]","[13,49]","[10,49]",10,2,2,"[1,1,0,0,0]",60,"[2,2,10,0]","[0,1,0,1]",2,名取といいます。<br>ご迷惑をおかけしないように、が、頑張ります。,200,200,25,25,0,"[37,69]","[20,59]","[8,39]","[4,-1,-1,-1,-1]",0,7
54,46,川内,せんだい,3,20,222,"[26,39]","[11,29]","[14,49]","[24,89]","[13,59]","[12,49]",10,2,2,"[1,1,0,0,0]",60,"[2,2,10,0]","[0,1,0,2]",4,川内、参上。<br>夜戦なら任せておいて！,200,200,25,25,0,"[38,79]","[20,69]","[8,39]","[4,25,-1,-1,-1]",0,7
55,47,神通,じんつう,3,20,223,"[26,39]","[11,29]","[14,39]","[24,79]","[13,49]","[10,49]",10,2,2,"[1,1,0,0,0]",60,"[2,2,10,0]","[0,1,0,1]",1,あの……軽巡洋艦、神通です。<br>どうか、よろしくお願い致します……,200,200,25,25,0,"[38,69]","[20,69]","[8,39]","[4,-1,-1,-1,-1]",0,7
56,48,那珂,なか,3,20,224,"[26,39]","[11,29]","[14,39]","[24,79]","[13,49]","[10,49]",10,2,2,"[1,1,0,0,0]",60,"[2,2,10,0]","[0,1,0,1]",2,艦隊のアイドル、那珂（なか）ちゃんだよー！<br>よっろしくぅ！,200,200,25,25,0,"[38,69]","[24,69]","[8,39]","[4,-1,-1,-1,-1]",0,7
57,97,大井改,おおい,4,50,118,"[32,49]","[12,39]","[8,39]","[80,99]","[13,39]","[10,49]",10,2,2,"[0,0,0,0,0]",75,"[2,6,9,0]","[0,4,0,1]",6,重雷装艦として、生まれ変わった大井です。<br>お久しぶりです！,400,770,25,50,3,"[37,77]","[25,59]","[8,39]","[15,15,-1,-1,-1]",0,7
58,98,北上改,きたかみ,4,50,119,"[32,49]","[12,39]","[8,39]","[80,99]","[13,39]","[15,69]",10,2,2,"[0,0,0,0,0]",75,"[2,6,9,0]","[0,4,0,1]",6,新しい北上、それがアタシ。<br>酸素魚雷を満載して、ちょっと大人になったでしょ。,400,770,25,50,3,"[37,77]","[25,59]","[8,39]","[15,15,-1,-1,-1]",0,7
59,52,古鷹,ふるたか,5,25,262,"[36,49]","[25,34]","[30,54]","[12,59]","[16,59]","[10,49]",10,2,3,"[2,2,2,0,0]",60,"[2,2,10,1]","[2,1,0,2]",3,古鷹と言います。<br>重巡洋艦のいいところ、たくさん知ってもらえると嬉しいです。,250,300,35,50,0,"[33,69]","[0,0]","[10,39]","[6,37,-1,-1,-1]",0,20
60,53,加古,かこ,5,25,263,"[36,49]","[25,34]","[30,49]","[12,49]","[16,49]","[10,49]",10,2,3,"[2,2,2,0,0]",60,"[2,2,10,1]","[2,1,0,2]",1,古鷹型重巡の2番艦、加古ってんだ、よっろしくぅー！,250,300,35,50,0,"[33,59]","[0,0]","[10,39]","[6,-1,-1,-1,-1]",0,8
61,54,青葉,あおば,5,25,264,"[37,49]","[26,37]","[30,54]","[12,59]","[16,59]","[20,69]",10,2,3,"[2,2,2,0,0]",60,"[2,2,10,1]","[2,1,0,2]",3,ども、恐縮です、青葉ですぅ！<br>一言お願いします！,250,300,35,50,0,"[33,69]","[0,0]","[11,39]","[6,37,-1,-1,-1]",0,20
62,55,妙高,みょうこう,5,25,265,"[44,60]","[32,49]","[40,59]","[24,59]","[16,64]","[10,49]",10,2,3,"[2,2,2,0,0]",80,"[2,2,12,1]","[2,1,0,2]",4,私、妙高型重巡洋艦、妙高と申します。<br>共に頑張りましょう。,300,450,40,65,0,"[34,69]","[0,0]","[12,39]","[6,25,-1,-1,-1]",0,8
63,56,那智,なち,5,25,266,"[44,56]","[32,49]","[40,54]","[24,49]","[16,54]","[10,49]",10,2,3,"[2,2,2,0,0]",80,"[2,2,12,1]","[2,1,0,2]",1,貴様が司令官か。<br>私は那智。よろしくお願いする。,300,450,40,65,0,"[34,59]","[0,0]","[12,39]","[6,-1,-1,-1,-1]",0,8
64,57,足柄,あしがら,5,25,267,"[44,56]","[32,49]","[40,54]","[24,49]","[16,54]","[10,49]",10,2,3,"[2,2,2,0,0]",80,"[2,2,12,1]","[2,1,0,2]",2,足柄よ。砲雷撃戦が得意なの。<br>ふふ、よろしくね。,300,450,40,65,0,"[34,59]","[0,0]","[12,39]","[6,-1,-1,-1,-1]",0,8
65,58,羽黒,はぐろ,5,25,268,"[44,56]","[32,49]","[40,54]","[24,49]","[16,54]","[10,49]",10,2,3,"[2,2,2,0,0]",80,"[2,2,12,1]","[2,1,0,2]",1,羽黒です。妙高型重巡洋艦姉妹の末っ娘です。<br>あ、あの…ごめんなさいっ！,300,450,40,65,0,"[34,59]","[0,0]","[12,39]","[6,-1,-1,-1,-1]",0,8
66,59,高雄,たかお,5,25,269,"[45,60]","[35,49]","[40,59]","[24,59]","[18,66]","[10,49]",10,2,3,"[2,2,2,0,0]",85,"[2,2,12,1]","[2,1,0,2]",4,こんにちは。高雄です。<br>貴方のような素敵な提督で良かったわ。,300,450,40,65,1,"[35,69]","[0,0]","[13,39]","[6,25,-1,-1,-1]",0,8
67,60,愛宕,あたご,5,25,270,"[45,60]","[35,49]","[40,54]","[24,59]","[18,56]","[10,49]",10,2,3,"[2,2,2,0,0]",85,"[2,2,12,1]","[2,1,0,2]",4,私は愛宕、提督、覚えてくださいね。,300,450,40,65,1,"[35,59]","[0,0]","[13,39]","[6,25,-1,-1,-1]",0,8
68,61,摩耶,まや,5,18,271,"[45,57]","[35,49]","[40,54]","[24,49]","[18,56]","[10,49]",10,2,3,"[2,2,2,0,0]",85,"[2,2,12,1]","[2,1,0,2]",1,よ！アタシ、摩耶ってんだ、よろしくな。,250,300,40,65,0,"[35,59]","[0,0]","[13,39]","[6,-1,-1,-1,-1]",0,8
69,62,鳥海,ちょうかい,5,25,272,"[45,57]","[35,49]","[40,54]","[24,49]","[18,56]","[10,49]",10,2,3,"[2,2,2,0,0]",85,"[2,2,12,1]","[2,1,0,2]",1,私が鳥海です。よろしくです。,300,450,40,65,0,"[35,59]","[0,0]","[13,39]","[6,-1,-1,-1,-1]",0,8
70,51,最上,もがみ,5,10,73,"[41,59]","[31,59]","[40,59]","[18,69]","[20,59]","[10,49]",10,2,3,"[2,2,2,0,0]",90,"[2,3,12,1]","[2,1,0,2]",4,ボクが最上さ。<br>大丈夫、今度は衝突しないって。ホントだよ。,210,70,40,65,1,"[35,69]","[0,0]","[14,39]","[5,25,-1,-1,-1]",0,8
71,63,利根,とね,5,25,273,"[44,62]","[36,59]","[32,59]","[24,59]","[20,67]","[10,49]",10,2,3,"[3,3,3,0,0]",90,"[2,2,13,2]","[2,1,1,2]",4,吾輩が利根である！<br>吾輩が艦隊に加わる以上、もう、索敵の心配はないぞ！,300,450,45,60,0,"[36,69]","[0,0]","[20,59]","[6,25,-1,-1,-1]",0,8
72,64,筑摩,ちくま,5,25,274,"[44,62]","[36,59]","[32,59]","[24,59]","[20,67]","[10,49]",10,2,3,"[3,3,3,0,0]",90,"[2,2,13,2]","[2,1,1,2]",4,はじめまして、利根型２番艦、筑摩と申します。,300,450,45,60,0,"[36,69]","[0,0]","[20,59]","[6,25,-1,-1,-1]",0,8
73,101,最上改,もがみ,6,0,0,"[50,67]","[37,71]","[24,75]","[18,69]","[20,64]","[10,69]",10,2,4,"[5,6,5,11,0]",100,"[2,2,13,4]","[2,1,3,2]",6,提督、また会ったね？最上だよ。<br>ボクの飛行甲板どう？似合ってる？,0,0,50,55,3,"[35,69]","[0,0]","[22,59]","[6,26,25,-1,-1]",4,8
74,94,祥鳳,しょうほう,7,25,282,"[32,55]","[19,39]","[0,19]","[0,0]","[14,29]","[10,49]",10,1,3,"[18,9,3,0,0]",160,"[2,2,13,4]","[0,0,2,2]",4,軽空母、祥鳳です。<br>はい、ちょっと小柄ですけど、ぜひ提督の機動部隊に加えてくださいね！,380,210,35,35,0,"[28,49]","[0,0]","[34,69]","[23,16,-1,-1,-1]",0,7
75,65,飛鷹,ひよう,7,25,283,"[40,64]","[21,39]","[0,19]","[0,0]","[21,59]","[10,49]",5,1,4,"[12,18,18,10,0]",180,"[6,6,20,6]","[0,0,3,2]",4,名前は出雲ま…じゃなかった、飛鷹です。<br>航空母艦よ。よろしくね、提督！,500,250,40,40,0,"[28,54]","[0,0]","[38,59]","[19,23,16,-1,-1]",6,9
76,30,龍驤,りゅうじょう,7,25,281,"[31,54]","[17,39]","[0,19]","[0,0]","[16,29]","[10,49]",10,1,3,"[9,24,5,0,0]",170,"[2,2,14,4]","[0,0,2,2]",4,軽空母、龍驤や。独特なシルエットでしょ？<br>でも、艦載機を次々繰り出す、ちゃーんとした空母なんや。期待してや！,400,220,35,35,0,"[27,44]","[0,0]","[34,69]","[19,16,-1,-1,-1]",6,8
